CTP_KOR_NM,LOSS
서울특별시,9000
부산광역시,7069417
대구광역시,6881
인천광역시,1489051
광주광역시,3703
대전광역시,209
울산광역시,9919270
세종특별자치시,1414
경기도,846275
강원도,5499176
충청북도,124121
충청남도,808982
전라북도,372216
전라남도,6358685
경상북도,24637700
경상남도,14012144
제주특별자치도,3681081
